Parameter , Description , Example

Cable.D , Conductor outside diameter [mm] , 28.1
Cable.C , Core diameter [mm] , 10.4
Cable.d , Outer strand diameter [mm] , 4.44
Cable.TCDRMAX , Maximum allowable conductor temperature [ºC], 100
Cable.EMISS , Emissivity , 0.8
Cable.ABSORP , Solar absorptivity , 0.8
Cable.RLO , Conductor ac resistance at low temperature [ohms/m] , 7.283e-5
Cable.TLO , Low temperature for resistance Cable.RLO , 25
Cable.RHI , Conductor ac resistance at high temperature [ohms/m] , 8.688e-5
Cable.THI , High temperature for resistance Cable.RHI , 75
 , , 

Case.NSELECT , Type of analysis , 2

Case.TAMB , Ambient air temperature [ºC] , 40
Case.VWIND , Wind speed [m/s] , 0.61
Case.WINDANG_DEG , Angle between wind and conductor [deg] , 60
Case.beta , Inclination of conductor to the horizontal [deg], 0
Case.CDR_ELEV , Height elevation of conductor above sea level [m], 0
Case.Z1_DEG , Azimuth of line [deg] ,  90
Case.LATITUDE , Latitude [deg] , 30
Case.Ns , Clearness of atmosphere , 1.0
Case.NDAY , Day of the year [1; 365] , 161 (10th june)  
Case.SUN_TIME , Solar time , 11:00
Case.ALBEDO , Reflectance of the ground (albedo) , 0.1
